class,item_group,거래처그룹,제품명,order,shortage,inj_short,pcodes,fg,doi_order,wip,doi_median,doi_max,doi_pos,doi_weighted,stock_cover_order_days
1-DAY,1-Day_Color_Sph_Fix2,PIA,PIA D_BAGUMORE HONEY LATTE_55% UV 15.0,91200,457138.0,858496.0,24,0.0,0.0,51858.0,0.0,0.0,0.0,0.0,17.058552631578948
1-DAY,1-Day_Color_Sph_Fix2,PIA,PIA D_BAGUMORE GRAY_55% UV 15.0,84300,291493.0,524285.0,25,0.0,0.0,154911.0,0.0,0.0,0.0,0.0,55.12846975088968
1-DAY,1-Day_Color_Sph_Fix2,PIA,PIA D_BAGUMORE PINK_55% UV 15.0,76900,280125.0,519814.0,24,0.0,0.0,123047.0,0.0,0.0,0.0,0.0,48.00273081924578
1-DAY,1-Day_Color_Sph_Fix2,PIA,PIA D_BAGUMORE BROWN_55% UV 15.0,72400,218423.0,549251.0,23,0.0,0.0,120931.0,0.0,0.0,0.0,0.0,50.10953038674033
1-DAY,1-Day_Color_Sph_Fix2,PIA,PIA D_BAGUMORE ICHIGO LATTE _55% UV 15.0,70400,184457.0,455094.0,22,0.0,0.0,143910.0,0.0,0.0,0.0,0.0,61.325284090909086
1-DAY,1-Day_Color_Sph,PIA,PIA D_Cherish Brown_55% UV 14.2,49900,288993.0,372529.0,24,351145.0,1570800.0,27236.0,46.43504620238901,118.8810661764706,24.0,40.461704227145404,227.48356713426855
1-DAY,1-Day_Color_Sph_Fix,PIA,PIA D_Burn Sugar_55% UV 14.5,38700,445677.0,529770.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-DAY,1-Day_Color_Sph_Fix,PIA,PIA D_Viva Boom_55% UV 14.5,38700,410743.0,494508.0,21,0.0,0.0,35325.0,0.0,0.0,0.0,0.0,27.383720930232556
1-DAY,1-Day_Color_Sph_Fix,PIA,PIA D_Mocha melt_55% UV 14.5,29900,409308.0,409308.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-DAY,1-Day_Color_Sph_Fix,CHINA/IRIS,Clalen D_Beige brown_55%(중국_축고정),24600,336758.0,336758.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-DAY,1-Day_Color_Sph_Fix,CHINA/IRIS,Clalen D_Ash brown_55%(중국_축고정),24600,336757.0,336757.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-DAY,1-Day_Color_Sph_Fix,CHINA/IRIS,Clalen D_Pink brown_55%(중국_축고정),24600,336757.0,336757.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-DAY,1-Day_Color_Sph_Fix,CHINA/IRIS,Clalen D_Purple_55%(중국_축고정),24600,336757.0,336757.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-DAY,1-Day_Color_Sph_Fix,CHINA/IRIS,Clalen D_Green_55%(중국_축고정),21600,295691.0,295691.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-DAY,1-Day_Color_Sph,PIA,PIA D_Date Topaz_38% UV,19000,62102.0,59143.0,13,96565.0,804700.0,28861.0,18.78968401486989,36.136379613356766,13.0,21.720224928544802,198.04105263157896
1-DAY,1-Day_Color_Sph,MAXVUE/OPTIMAX,Freedom380_무지리드지,19000,11940.0,2790.0,6,5955.0,0.0,7825.0,0.0,0.0,0.0,0.0,21.757894736842104
1-DAY,1-Day_Color_Sph,PIA,PIA D_GRAY TRAP_55% UV 14.5,16500,180948.0,194200.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-DAY,1-Day_Color_Sph,PIA,PIA D_NUDE WINK_55% UV 14.5,16500,180948.0,194200.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRP,FRP_Sph,거래처 미지정,Sincere_2week UV_Clear,15000,10631.0,0.0,5,8484.0,48768.0,0.0,30.12375533428165,46.02708058124175,5.0,31.487942913385826,16.968
1-DAY,1-Day_M/F,OKVISION,Bi-focal D_8.40_55%,12150,1362.0,0.0,3,10795.0,19560.0,0.0,109.09251700680272,218.11293859649123,3.0,99.89238241308794,26.654320987654323
1-DAY,1-Day_Color_Sph,PIA,PIA D_Cream Rose_38% UV,7700,15475.0,8063.0,8,35180.0,311100.0,26547.0,32.62574359462202,47.5810606060606,8.0,20.467952426872387,240.49480519480522
1-DAY,1-Day_Color_Sph,Alcon,Alcon D_Allure Grey_W3C(APAC),5480,17465.0,17030.0,2,10340.0,145290.0,0.0,34.85057542642816,60.00543478260869,2.0,12.881409594603896,56.605839416058394
??,UNKNOWN,PIA,HAPA(PIA) D_Sugar High Kristin Ash Choco 14.2_55%,5200,39453.0,39453.0,7,22375.0,217000.0,0.0,57.437333333333335,80.0925,7.0,18.663018433179722,129.08653846153845
1-DAY,1-Day_Color_Sph,PIA,PIA D_Uniform Black_55% UV,4900,42150.0,42150.0,9,14190.0,209800.0,0.0,21.80227272727273,163.31136363636364,8.0,12.242087702573881,86.87755102040816
1-DAY,1-Day_Color_Sph,Alcon,Alcon D_Allure Hazel_W3C(APAC),4760,4909.0,4909.0,3,53025.0,127170.0,0.0,75.94006309148266,78.35543187889581,3.0,75.47004010379806,334.1911764705883
FRP,FRP_Color_Sph,PIA,Jelly Quartz_PIA_M_(중),4700,6732.0,6211.0,10,3200.0,34800.0,5060.0,14.495083333333334,61.76625,10.0,16.64367816091954,52.723404255319146
1-DAY,1-Day_Color_Sph,PIA,PIA D_Garnet_38% UV,4200,23364.0,23364.0,7,25190.0,153400.0,0.0,37.885784313725495,67.62361111111112,7.0,29.722229465449804,179.92857142857142
FRP,FRP_Color_Sph,PIA,Coffee Jelly_PIA_M_(중)(Y),4000,2848.0,0.0,6,2623.0,58800.0,14410.0,11.20641148325359,32.371153846153845,6.0,8.07420068027211,127.7475
1-DAY,1-Day_Color_Sph_Fix,HEARTS/TopTrend,Clalen D_Purple_55%(중국_축고정),3780,51747.0,51747.0,20,,,,,,,0.0,
1-DAY,1-Day_Color_Sph_Fix,HEARTS/TopTrend,Clalen D_Ash brown_55%(중국_축고정),3780,51746.0,51746.0,20,,,,,,,0.0,
1-DAY,1-Day_Color_Sph_Fix,HEARTS/TopTrend,Clalen D_Pink brown_55%(중국_축고정),3780,51746.0,51746.0,20,,,,,,,0.0,
1-DAY,1-Day_Color_Sph_Fix,HEARTS/TopTrend,Clalen D_Green_55%(중국_축고정),3780,51745.0,51745.0,20,,,,,,,0.0,
1-DAY,1-Day_Color_Sph,PIA,PIA D_Glow Brown_38% UV,3600,17243.0,17243.0,3,21840.0,132900.0,0.0,28.618018433179724,47.46632653061224,3.0,29.744469525959367,182.0
1-DAY,1-Day_Color_Sph,PIA,PIA D_Moon Melt Brown_55%_14.5 UV,3600,3251.0,0.0,1,8290.0,139200.0,45872.0,10.779382183908046,10.779382183908046,1.0,10.779382183908046,451.35
1-DAY,1-Day_Color_Sph,OPTICAL SUPPLIES,BELLA D_Ash Brown(8년),3350,37084.0,37084.0,1,7080.0,794680.0,0.0,1.612573614536669,1.612573614536669,1.0,1.612573614536669,63.40298507462687
1-DAY,1-Day_Color_Sph,PIA,HAPA(PIA) D_Sugar High Kristin Beige 14.2_55% UV,3300,30872.0,30872.0,6,21600.0,125000.0,0.0,48.769444444444446,114.03,6.0,31.2768,196.36363636363637
1-DAY,1-Day_Color_Sph,from-eyes,From D_(UV)Clear Beige_38%,3300,16211.0,16211.0,11,19235.0,67500.0,0.0,48.4175,74.41111111111111,11.0,51.5782962962963,174.86363636363637
1-DAY,1-Day_Color_Sph,OPTICAL SUPPLIES,BELLA D_Rosewood(8년),3154,30482.0,30482.0,3,11435.0,721630.0,0.0,16.141498216409037,19.281786941580755,3.0,2.8681387968903733,108.76664552948637
FRP,FRP_Color_Sph,PIA,Dollish Brown_PIA_M_(중)(Y),3050,5455.0,5088.0,8,3877.0,27900.0,2849.0,27.156703703703705,56.9584375,8.0,25.151863799283156,66.15737704918033
1-DAY,1-Day_Color_Sph,PIA,PIA D_Idol Ring_38% UV,2900,18009.0,18009.0,7,54125.0,143400.0,0.0,114.45588235294116,132.54939024390242,7.0,68.31677126917712,559.9137931034484
1-DAY,1-Day_Color_Sph,PIA,HAPA(PIA) D_First Love Kristin Brown 14.2_38% UV,2700,14899.0,9394.0,11,23505.0,87000.0,23369.0,57.196,169.46125,11.0,48.90120689655173,520.8222222222222
1-DAY,1-Day_Color_Sph,OPTICAL SUPPLIES,BELLA_1-Day_Almond Brown(8년),2650,13382.0,13382.0,1,5765.0,772100.0,0.0,1.3514635409920994,1.3514635409920994,1.0,1.3514635409920994,65.26415094339623
FRP,FRP_Color_Sph,PIA,Dark Peony_PIA_M_(중)(Y),2600,5194.0,4413.0,5,1054.0,8800.0,6936.0,10.86,75.34125,5.0,21.678863636363634,92.1923076923077
1-DAY,1-Day_Color_Sph,ALENSA,KBS-C_1Day_Brown,2489,20068.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRP,FRP_Color_Sph,PIA,Date Topaz_PIA_M_(중)(Y),2300,4327.0,4327.0,4,1686.0,21400.0,0.0,13.94185734463277,43.74166666666667,4.0,14.260093457943926,21.991304347826087
FRP,FRP_Color_Sph,PIA,Cream Rose_PIA_M_(중),2300,2261.0,2261.0,5,1743.0,26000.0,0.0,9.465810810810812,37.482083333333335,5.0,12.133961538461538,22.734782608695653
1-DAY,1-Day_Color_Sph,PIA,PIA D_Mocha Ring_38% UV,2100,7230.0,7230.0,6,17545.0,68200.0,0.0,39.78408110440034,78.6311475409836,6.0,46.563709677419354,250.64285714285714
1-DAY,1-Day_Color_Sph,PIA,PIA D_Baby Espresso_38% UV,2100,6274.0,6274.0,3,15685.0,79600.0,0.0,43.56714876033058,43.99840425531915,3.0,35.66564070351759,224.07142857142858
1-DAY,1-Day_Color_Sph,PIA,PIA D_Grege Quartz 38% UV,2100,5581.0,5581.0,10,16285.0,83000.0,0.0,41.24590449082859,57.07338709677419,10.0,35.513072289156625,232.64285714285714
1-DAY,1-Day_Color_Sph,PIA,PIA D_Brulee Pearl_55%_14.2 UV,2100,3372.0,0.0,1,13675.0,180200.0,18928.0,13.735710321864596,13.735710321864596,1.0,13.735710321864595,465.75714285714287
1-DAY,1-Day_Color_Sph,from-eyes,ClearBeige Mini UV 14.2,2000,17339.0,17339.0,7,7295.0,45500.0,0.0,40.2725,106.3375,7.0,29.01967032967033,109.425
1-DAY,1-Day_Color_Sph,PIA,PIA D_Coffee Jelly_55% UV,2000,4262.0,4262.0,3,16400.0,158600.0,0.0,18.48924731182796,22.9312030075188,3.0,18.71626733921816,245.99999999999997
FRP,FRP_Color_Sph,PIA,Gray Bunny_PIA_M_(중)_14.2,1900,1070.0,1070.0,1,3030.0,5000.0,0.0,109.686,109.686,1.0,109.68599999999999,47.8421052631579
1-DAY,1-Day_Color_Sph,OPTICAL SUPPLIES,BELLA_1-Day_Hazel Honey(8년),1850,12993.0,12993.0,2,14360.0,277170.0,0.0,4.708282008550105,9.41656401710021,1.0,9.377493956777428,232.86486486486487
1-DAY,1-Day_Color_Sph,PIA,PIA D_Oolong Tea_55% UV,1800,6745.0,6745.0,4,10795.0,182800.0,0.0,11.597423165070225,14.80509708737864,4.0,10.688703501094093,179.91666666666666
1-DAY,1-Day_Color_Sph,OPTICAL SUPPLIES,BELLA D_VENUS 55%,1640,11087.0,11087.0,2,5845.0,280200.0,0.0,5.322790504362901,6.951635846372689,2.0,3.7756780870806566,106.92073170731707
FRP,FRP_Color_Sph,PIA,Cherish Brown_PIA_M_(중)_14.2,1400,1587.0,0.0,2,1268.0,28800.0,10746.0,10.392767441860466,13.454333333333334,2.0,7.969027777777778,257.4428571428571
FRP,FRP_Color_Sph,PIA,Oolong Tea_PIA_M_중사각(Y),1400,780.0,669.0,2,1284.0,32400.0,4940.0,16.41939640410959,27.941875000000003,2.0,7.172962962962964,133.37142857142857
1-DAY,1-Day_Color_Sph,PIA,PIA D_Brown Fondue_38% UV,1300,1202.0,1202.0,4,12005.0,45800.0,0.0,67.47305402930402,94.27083333333334,4.0,47.44334061135371,277.03846153846155
1-DAY,1-Day_Color_Sph,ALENSA,KBS-C_1Day_Green,1264,9244.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA D_Dollish Brown_55% UV,1250,8314.0,8314.0,13,5475.0,3000.0,0.0,0.0,173.76,6.0,330.325,131.4
1-DAY,1-Day_Color_Sph,ALENSA,KBS-C_1Day_Grey,1235,11971.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-DAY,1-Day_Color_Toric,PIA,PIA D Toric_Dollish Gray_55% UV,1200,6016.0,3071.0,9,5380.0,43800.0,10327.0,29.934615384615384,53.888636363636365,9.0,22.2324200913242,392.675
1-DAY,1-Day_Color_Sph,PIA,PIA D_Opal_38% UV,1200,1425.0,1425.0,3,12795.0,36600.0,0.0,58.46167883211679,105.39939024390245,3.0,63.27581967213114,319.875
FRP,FRP_Color_Sph,PIA,Twinkle Brown_PIA_M_(중)(Y),1200,1310.0,183.0,3,1179.0,22200.0,4881.0,18.401666666666667,24.29576923076923,3.0,9.612567567567567,151.5
1-DAY,1-Day_Color_Sph,PIA,PIA D_Strawberry Quartz_38% UV,1100,5791.0,5791.0,4,6815.0,37800.0,0.0,30.769408754355396,67.74930555555555,4.0,32.63267195767195,185.86363636363637
1-DAY,1-Day_Color_Sph,from-eyes,From D_(UV)Clear Beige Coral_38%,1050,6580.0,5429.0,8,4775.0,16000.0,3518.0,39.82,244.35,8.0,54.017187500000006,236.94285714285715
??,UNKNOWN,PIA,HAPA(PIA) D_Sugar High Kristin Plus Gray 14.2_55%,1000,2756.0,2756.0,4,11675.0,14000.0,0.0,147.70354166666667,225.94833333333327,4.0,150.94107142857143,350.25
FRP,FRP_Color_Sph,PIA,Dazzle Beige_2T_(PBT)PIA_M(Y),1000,1847.0,1408.0,4,569.0,9300.0,4325.0,9.323230874316941,58.825,4.0,11.074086021505376,146.82
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_Dazzle Beige,950,4924.0,4924.0,11,5340.0,3000.0,0.0,0.0,75.115,3.0,322.18,168.6315789473684
FRP,FRP_Color_Sph,PIA,Dollish Gray_PIA_M_(중)(Y),950,1290.0,0.0,3,647.0,6900.0,7335.0,12.261290322580646,31.181363636363635,3.0,16.972028985507247,252.06315789473683
1-DAY,1-Day_Color_Sph,PIA,(CA)PIA D_Dark Peony_55% UV,850,6043.0,6043.0,10,3405.0,2500.0,0.0,0.0,148.42,2.0,246.52200000000002,120.17647058823529
1-DAY,1-Day_Color_Sph,Sincere,ANW D_Through Beige_Dopewink 38%,840,5287.0,5287.0,7,3930.0,4900.0,0.0,74.9857142857143,537.8285714285714,6.0,145.16938775510204,140.35714285714286
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_Mirror Gray,800,5442.0,5442.0,12,3355.0,1500.0,0.0,0.0,304.08,2.0,404.8366666666667,125.81249999999999
FRP,FRP_Color_Sph,PIA,Baby Espresso_PIA_M_중사각(Y),800,1367.0,1367.0,2,618.0,13600.0,0.0,8.082586206896552,9.05,2.0,8.22485294117647,23.174999999999997
1-DAY,1-Day_Color_Sph,ALENSA,KBS-C_1Day_True Sapphire,750,7559.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-DAY,1-Day_Color_Sph,PIA,(CA)PIA D_Uniform Black_55%_14.5 UV,750,5768.0,5768.0,10,2610.0,4500.0,0.0,45.25,142.99,6.0,104.97999999999999,104.4
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_1D 55% Matcha Latte,700,5028.0,5028.0,7,2790.0,3500.0,0.0,0.0,157.47,3.0,144.28285714285715,119.57142857142857
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA D_Dollish Gray_55% UV,700,3830.0,3830.0,11,3765.0,3000.0,0.0,0.0,86.88,3.0,227.15499999999997,161.35714285714286
1-DAY,1-Day_Color_Sph,PIA,PIA_1D 55% YakisobaPan_1T,700,3156.0,3156.0,3,6330.0,19600.0,0.0,64.37177419354839,92.58846153846152,3.0,58.45561224489796,271.2857142857143
1-DAY,1-Day_Color_Sph,PIA,PIA D_Pearl Cats Eye_38% UV,700,1272.0,1272.0,2,5925.0,52700.0,0.0,23.38783826945413,26.891428571428573,2.0,20.349620493358632,253.92857142857142
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE_BABY RING_GIRL POWER,675,3264.0,0.0,5,6190.0,2500.0,21513.0,275.72333333333336,651.6,4.0,448.156,1231.2444444444445
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_Dazzle Gray,650,4535.0,4535.0,8,2670.0,2500.0,0.0,0.0,175.57,3.0,193.30800000000002,123.23076923076923
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_1D 55% Sheer Brown 14.2,650,4031.0,4031.0,11,3110.0,3500.0,0.0,0.0,68.78,3.0,160.83142857142857,143.53846153846155
1-DAY,1-Day_Color_Sph,PIA,PIA D_Princess Chocolat_55%_14.5 UV,600,3144.0,3144.0,3,13360.0,28600.0,0.0,78.9656862745098,118.73206521739132,3.0,84.55104895104894,668.0
1-DAY,1-Day_Color_Sph,PIA,PIA D_Cream Grege_14.4,600,2643.0,1754.0,2,3635.0,40000.0,3569.0,11.315382624621755,19.730124223602484,2.0,16.448375,360.2
1-DAY,1-Day_Color_Sph,PIA,PIA D_Melady Brown_38% UV,600,2167.0,2167.0,2,2155.0,25400.0,0.0,15.441307713963964,15.5546875,2.0,15.356496062992125,107.75
1-DAY,1-Day_Color_Sph_Fix,PIA,PIA D_Moon Stone_55% UV 14.5,600,1217.0,274.0,2,0.0,0.0,2060.0,0.0,0.0,0.0,0.0,103.0
FRP,FRP_Color_Sph,PIA,Mocha Ring_PIA_M_(중),600,412.0,0.0,2,1001.0,5400.0,3181.0,33.02504120879121,47.25392857142857,2.0,33.55203703703704,209.1
1-DAY,1-Day_Color_Sph,OPTICAL SUPPLIES,BELLA_Ocean Blue(8년),570,2613.0,2613.0,1,2975.0,88260.0,0.0,6.101008384319058,6.101008384319058,1.0,6.101008384319058,156.57894736842104
