제품명,거래처그룹,품목등급,추천_DOI기준,판단,P코드수,이니셜수,수요라인수,최초납기,오더수량,생산부족수량,사출부족수량,완제품재고,공정재고합계,사출재고,분리재고,검사접착재고,누수규격검사재고,DOI기준오더,DOI_가중,DOI_중앙값,DOI_최대,DOI_양수_P코드수,부족대비공정재고율,재고대비월수요율,우선순위점수
PIA D_BAGUMORE HONEY LATTE_55% UV 15.0,PIA,A급 주력/부족대응,30~60일,생산최우선: DOI 0/낮음 + 부족 큼,24,2,40,2026-08-23,91200,457138.0,858496.0,0.0,51858.0,35907.0,4131.0,6145,5675,0.0,0.0,0.0,0.0,0,0.11344058030616576,,1171294.8
PIA D_Burn Sugar_55% UV 14.5,PIA,A급 주력/부족대응,30~60일,생산최우선: DOI 0/낮음 + 부족 큼,21,3,62,2026-09-13,38700,445677.0,529770.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,881103.0
PIA D_Viva Boom_55% UV 14.5,PIA,A급 주력/부족대응,30~60일,생산최우선: DOI 0/낮음 + 부족 큼,21,3,62,2026-09-13,38700,410743.0,494508.0,0.0,35325.0,35325.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.08600268294286208,,817959.4
PIA D_Mocha melt_55% UV 14.5,PIA,A급 주력/부족대응,30~60일,생산최우선: DOI 0/낮음 + 부족 큼,21,3,60,2026-09-13,29900,409308.0,409308.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,745724.4
PIA D_BAGUMORE GRAY_55% UV 15.0,PIA,A급 주력/부족대응,30~60일,생산최우선: DOI 0/낮음 + 부족 큼,25,2,37,2026-08-23,84300,291493.0,524285.0,0.0,154911.0,71405.0,18141.0,44000,21365,0.0,0.0,0.0,0.0,0,0.5314398630498846,,736211.0
PIA D_BAGUMORE PINK_55% UV 15.0,PIA,A급 주력/부족대응,30~60일,생산최우선: DOI 0/낮음 + 부족 큼,24,2,31,2026-08-23,76900,280125.0,519814.0,0.0,123047.0,51499.0,16748.0,40775,14025,0.0,0.0,0.0,0.0,0,0.43925747434181167,,719046.2
Clalen D_Purple_55%(중국_축고정),"CHINA/IRIS, HEARTS/TopTrend",A급 주력/부족대응,0~45일,생산최우선: DOI 0/낮음 + 부족 큼,26,3,72,2026-08-24,28380,388504.0,388504.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,707821.2
Clalen D_Ash brown_55%(중국_축고정),"CHINA/IRIS, HEARTS/TopTrend",A급 주력/부족대응,0~45일,생산최우선: DOI 0/낮음 + 부족 큼,26,3,72,2026-08-24,28380,388503.0,388503.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,707819.4
Clalen D_Pink brown_55%(중국_축고정),"CHINA/IRIS, HEARTS/TopTrend",A급 주력/부족대응,0~45일,생산최우선: DOI 0/낮음 + 부족 큼,26,3,72,2026-08-24,28380,388503.0,388503.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,707819.4
PIA D_BAGUMORE BROWN_55% UV 15.0,PIA,A급 주력/부족대응,30~60일,생산최우선: DOI 0/낮음 + 부족 큼,23,2,26,2026-08-23,72400,218423.0,549251.0,0.0,120931.0,24452.0,43834.0,47745,4900,0.0,0.0,0.0,0.0,0,0.5536550637982264,,679543.8
Clalen D_Green_55%(중국_축고정),"CHINA/IRIS, HEARTS/TopTrend",A급 주력/부족대응,0~45일,생산최우선: DOI 0/낮음 + 부족 큼,26,3,72,2026-08-24,25380,347436.0,347436.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,632998.8
Clalen D_Beige brown_55%(중국_축고정),CHINA/IRIS,A급 주력/부족대응,0~45일,생산최우선: DOI 0/낮음 + 부족 큼,26,2,52,2026-08-24,24600,336758.0,336758.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,613544.4
PIA D_Cherish Brown_55% UV 14.2,PIA,A급 주력/부족대응,30~60일,"생산유지: 부족 큼, 재고는 과다 아님",24,1,24,2026-08-20,49900,288993.0,372529.0,351145.0,27236.0,10630.0,13276.0,0,3330,1570800.0,40.461704227145404,46.43504620238901,118.8810661764706,24,0.09424449727156022,0.22354532722179782,584428.95
