initial,customer,code,demand_qty,사출창고,분리창고,검사접착,누수규격검사,inv_total_4wh,shortage_qty
AA1312,"PIA Co.,Ltd.",P1084A-00.75MCJ2,4025,0.0,0.0,0.0,0.0,0.0,4025.0
D1874,Bach Quang,P5103A-04.75ABM,253,0.0,0.0,0.0,0.0,0.0,253.0
D1874,Bach Quang,P5105A-01.25PRM,122,0.0,0.0,0.0,0.0,0.0,122.0
D1874,Bach Quang,P5105A-04.50PRM,202,0.0,0.0,0.0,0.0,0.0,202.0
D1874,Bach Quang,P5105A-05.00PRM,293,0.0,0.0,0.0,0.0,0.0,293.0
D1874,Bach Quang,P5105A-05.25PRM,333,0.0,0.0,0.0,0.0,0.0,333.0
D1874,Bach Quang,P5106A-10.00EMM,71,0.0,0.0,0.0,0.0,0.0,71.0
D1876,ALCON India,P3220A-00.00ALH,9309,0.0,0.0,0.0,0.0,0.0,9309.0
D1882,ALCON Thailand,P3221A-01.50CCM,2290,0.0,0.0,0.0,0.0,0.0,2290.0
D1882,ALCON Thailand,P3221A-01.75CCM,364,0.0,0.0,0.0,0.0,0.0,364.0
DD1120,Hearts Optical,P0036A-07.50,91,0.0,0.0,0.0,0.0,0.0,91.0
DD1122,Hearts Optical,P4781A-09.50BRW3,152,0.0,0.0,0.0,0.0,0.0,152.0
DD1123,Hearts Optical,P0210A-01.50-0.75180ALR,61,0.0,0.0,0.0,0.0,0.0,61.0
DD1123,Hearts Optical,P0210A-02.50-0.75180ALR,123,0.0,0.0,0.0,0.0,0.0,123.0
DD1123,Hearts Optical,P0210A-03.50-0.75180ALR,62,0.0,0.0,0.0,0.0,0.0,62.0
DD1123,Hearts Optical,P0210A-06.50-0.75180ALR,428,0.0,0.0,0.0,0.0,0.0,428.0
DD1123,Hearts Optical,P0210A-07.00-0.75180ALR,92,0.0,0.0,0.0,0.0,0.0,92.0
DD1123,Hearts Optical,P0211A-02.75-1.25180ALR,31,0.0,0.0,0.0,0.0,0.0,31.0
DD1123,Hearts Optical,P0211A-03.50-1.25180ALR,367,0.0,0.0,0.0,0.0,0.0,367.0
DD1123,Hearts Optical,P0211A-04.75-1.25180ALR,92,0.0,0.0,0.0,0.0,0.0,92.0
DD1123,Hearts Optical,P0211A-07.00-1.25180ALR,122,0.0,0.0,0.0,0.0,0.0,122.0
DD1123,Hearts Optical,P0212A-00.00-1.75180ALR,215,0.0,0.0,0.0,0.0,0.0,215.0
DD1123,Hearts Optical,P0212A-01.25-1.75180ALR,245,0.0,0.0,0.0,0.0,0.0,245.0
DD1123,Hearts Optical,P0212A-01.50-1.75180ALR,245,0.0,0.0,0.0,0.0,0.0,245.0
DD1123,Hearts Optical,P0212A-02.00-1.75180ALR,183,0.0,0.0,0.0,0.0,0.0,183.0
DD1123,Hearts Optical,P0212A-03.00-1.75180ALR,307,0.0,0.0,0.0,0.0,0.0,307.0
DD1123,Hearts Optical,P4843A-07.50-0.75180BRW,30,0.0,0.0,0.0,0.0,0.0,30.0
DD1123,Hearts Optical,P4844A-04.50-1.25180BRW,92,0.0,0.0,0.0,0.0,0.0,92.0
DD1123,Hearts Optical,P4844A-04.75-1.25180BRW,122,0.0,0.0,0.0,0.0,0.0,122.0
DD1123,Hearts Optical,P4844A-05.50-1.25180BRW,307,0.0,0.0,0.0,0.0,0.0,307.0
DD1123,Hearts Optical,P4845A-01.00-1.75180BRW,123,0.0,0.0,0.0,0.0,0.0,123.0
DD1123,Hearts Optical,P4845A-05.50-1.75180BRW,918,0.0,0.0,0.0,0.0,0.0,918.0
DD1123,Hearts Optical,P4845A-07.50-1.75180BRW,460,0.0,0.0,0.0,0.0,0.0,460.0
DD1123,Hearts Optical,P4845A-08.00-1.75180BRW,306,0.0,0.0,0.0,0.0,0.0,306.0
DD1123,Hearts Optical,P4846A-06.00-0.75180GRA,61,0.0,0.0,0.0,0.0,0.0,61.0
DD1123,Hearts Optical,P4847A-04.25-1.25180GRA,153,0.0,0.0,0.0,0.0,0.0,153.0
DD1123,Hearts Optical,P4848A-04.00-1.75180GRA,62,0.0,0.0,0.0,0.0,0.0,62.0
DD1123,Hearts Optical,P4848A-05.00-1.75180GRA,306,0.0,0.0,0.0,0.0,0.0,306.0
DD1123,Hearts Optical,P4848A-05.50-1.75180GRA,214,0.0,0.0,0.0,0.0,0.0,214.0
DD1123,Hearts Optical,P4848A-06.00-1.75180GRA,183,0.0,0.0,0.0,0.0,0.0,183.0
DD1123,Hearts Optical,P4848A-08.00-1.75180GRA,306,0.0,0.0,0.0,0.0,0.0,306.0
DD1127,Hearts Optical,P0110A-07.50SNB,30,0.0,0.0,0.0,0.0,0.0,30.0
DD1127,Hearts Optical,P4781A-09.50BRW3,20,0.0,0.0,0.0,0.0,0.0,20.0
DD1127,Hearts Optical,P4844A-02.00-1.25180BRW,16,0.0,0.0,0.0,0.0,0.0,16.0
DD1127,Hearts Optical,P4845A-01.00-1.75180BRW,21,0.0,0.0,0.0,0.0,0.0,21.0
