P5,row_count,qty_sum_dashboard,qty_max_single_row,qty_first_single_row,?????,????
P3405,31,429739.0,48995.0,191.0,BS0149,알루미늄리드지 (Clalen O2O2 Color 1Day)_무광 코팅
P3015,27,238668.0,26827.0,4333.0,BS0053,알루미늄리드지 (국내/중국 1-Day Soft)_무광 코팅
P0598,24,232457.0,86584.0,86584.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0317,21,229507.0,16591.0,2982.0,BS0149,알루미늄리드지 (Clalen O2O2 Color 1Day)_무광 코팅
P1201,33,219511.0,26839.0,0.0,BS0005,알루미늄리드지 (Monthly_무지)
P7037,27,218682.0,15312.0,10702.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0176,24,197743.0,24611.0,318.0,BS0149,알루미늄리드지 (Clalen O2O2 Color 1Day)_무광 코팅
P0597,29,177825.0,46341.0,46341.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0519,20,168019.0,81135.0,81135.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P3505,35,147980.0,4228.0,4228.0,BS0162,알루미늄리드지 (국내 OPTACON ZOOM 1-Day)_무광 코팅
P1102,11,137543.0,33791.0,2258.0,BS0344,알루미늄리드지 (이탈리아 Esoform Bioxi D_Visiosan)
P3093,34,134802.0,14421.0,14421.0,BS0086,알루미늄리드지 (Iris_수지브라운)_무광 코팅
P1083,28,128157.0,13933.0,13933.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P7003,17,114482.0,66746.0,66746.0,BS0036,알루미늄리드지 (PIA 1Day)_유광 코팅
P1123,30,103603.0,16576.0,16576.0,BS0311,알루미늄리드지 (태국 MG Medical Group_SISSE ONE DA
P5405,164,103000.0,955.0,223.0,BS0115,알루미늄리드지 (무지-백색_PET12/AL30/CPP100_White
P3407,23,101853.0,11093.0,32.0,BS0149,알루미늄리드지 (Clalen O2O2 Color 1Day)_무광 코팅
P3406,27,99722.0,23374.0,127.0,BS0149,알루미늄리드지 (Clalen O2O2 Color 1Day)_무광 코팅
P0557,6,98509.0,91560.0,91560.0,BS0261,알루미늄리드지 (PIA_1D 55% Resay 리드지)
P0594,15,97039.0,66862.0,66862.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P7017,19,87854.0,12168.0,12168.0,BS0036,알루미늄리드지 (PIA 1Day)_유광 코팅
P0037,34,86210.0,3916.0,653.0,BS0054,알루미늄리드지 (국내/중국 원데이_아이리스)_무광 코
P1203,17,81382.0,10121.0,4392.0,BS0005,알루미늄리드지 (Monthly_무지)
P0114,12,70326.0,34839.0,34839.0,BS0286,알루미늄리드지 (하파크리스틴_1Day Color)_14.5 유광
P1086,28,70154.0,21029.0,1990.0,BS0248,알루미늄리드지 (일본 T-garden_1D 55% Cheritta)_유
P7038,11,66829.0,14127.0,9443.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P5030,15,57990.0,30748.0,30748.0,BS0191,알루미늄리드지 (하파크리스틴_1Day Color)_유광 코팅
P0555,10,57610.0,38891.0,38891.0,BS0261,알루미늄리드지 (PIA_1D 55% Resay 리드지)
P5050,1,57589.0,57589.0,57589.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P5247,11,56060.0,40962.0,40962.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P5230,10,55998.0,20652.0,6995.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P1061,19,49905.0,5947.0,3761.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0589,5,49409.0,18616.0,13540.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0588,10,40953.0,14556.0,0.0,BS0049,알루미늄리드지 (신시아_원데이UV모이스쳐)_무광 코팅
